TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.rackspacecloud.blueflood.service.ZKShardLockManager,MTHD_PROB_RISK,0.0,1,0
com.rackspacecloud.blueflood.service.ZKShardLockManager,MTHD_PROB_RISK,0.0,1,0
com.rackspacecloud.blueflood.service.ZKShardLockManager,MTHD_PROB_RISK,0.0,1,0
com.rackspacecloud.blueflood.service.ZKShardLockManager,MTHD_PROB_RISK,0.0,1,0
com.rackspacecloud.blueflood.service.ZKShardLockManager,MTHD_PROB_RISK,0.0,1,1
com.rackspacecloud.blueflood.service.ZKShardLockManager,MTHD_PROB_RISK,0.0,1,0
com.rackspacecloud.blueflood.service.ZKShardLockManager,MTHD_PROB_RISK,0.0,1,0
com.rackspacecloud.blueflood.service.ZKShardLockManager,MTHD_PROB_RISK,0.0,1,1
com.rackspacecloud.blueflood.service.ShardStateServices,MTHD_PROB_RISK,0.0,1,0
com.rackspacecloud.blueflood.service.ZKShardLockManager,MTHD_PROB_RISK,0.0,1,0
com.rackspacecloud.blueflood.service.ZKShardLockManager,MTHD_PROB_RISK,0.0,1,0
