TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
jetbrick.template.parser.AstCodeVisitor,MTHD_PROB_RISK,0.0,1,0
jetbrick.template.parser.AstCodeVisitor,MTHD_PROB_RISK,0.0,1,1
jetbrick.template.web.jetbrickmvc.JetTemplateViewHandler,MTHD_PROB_RISK,0.0,1,1
jetbrick.template.web.jetbrickmvc.JetTemplateViewHandler,MTHD_PROB_RISK,0.0,1,1
jetbrick.template.web.jetbrickmvc.JetTemplateViewHandler,MTHD_PROB_RISK,0.0,1,1
jetbrick.template.web.jetbrickmvc.JetTemplateViewHandler,MTHD_PROB_RISK,0.0,1,1
jetbrick.template.web.jetbrickmvc.JetTemplateViewHandler,MTHD_PROB_RISK,0.0,1,1
jetbrick.template.web.jetbrickmvc.JetTemplateViewHandler,MTHD_PROB_RISK,0.0,1,1
jetbrick.template.web.jetbrickmvc.JetTemplateViewHandler,MTHD_PROB_RISK,0.0,1,1
jetbrick.template.web.jetbrickmvc.JetTemplateViewHandler,MTHD_PROB_RISK,0.0,1,1
